Mandatory Information,,,,Optional Information,,,,,,,,,,,,,,,,,Unused Information,,,,
Username,Location_Name,Latitude,Longitude,Precipitation_annualAvg_mm,PotentialEvapotranspiration_annualAvg_mm,SurfaceWater_annualAvgFlows_km3,Groundwater_annualAvgRecharge_mm,SoilMoisture_annualAvg_pct,SurfaceWaterDiversion_Percent,SurfaceWaterDiversion_averageInCubicKM,CurrentStorageTrend_mm,Groundwater_Access,SoilMoisture_Access,DripIrrigation,OnsiteReservoirs,GrowMonth_Start,GrowMonth_End,PrimaryCrop,TotalAreaUnderCultivation_km2,Annual_Water_Needs_mm,OnsiteStorage_other,Location_Address,SecondaryCrop,SoilClass,Region
Nuveen-Cali-Jan2024,49er Vineyard,35.6886,-119.3736,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Alta Loma,36.255,-121.2277,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Arroyo Loma,36.271,-121.2235,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Baja,36.2855,-121.2262,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Big Ranch,38.3672,-122.3103,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Branch,35.6486,-120.5833,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Bulldog Vineyards,36.8619,-120.2055,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Carmel,36.4866,-121.3734,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Casa Grande,36.4809,-121.3873,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Chalk Ridge,38.5467,-122.7772,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Clarksburg,38.372,-121.5656,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Coastal Vineyards,34.7959,-120.3211,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Diamond,38.2486,-122.3966,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Dragon Mist,38.0957,-121.4184,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,El Camino,34.7646,-120.3108,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Estrella,35.7356,-120.6489,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Firehouse,35.6706,-120.5832,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Five Hills,35.6409,-120.5265,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Hobson,36.2767,-121.1961,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Huichica,38.2433,-122.3639,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Hunter,38.3487,-122.3141,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Jaeger,38.3561,-122.3188,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Jensen,38.5495,-122.7903,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Jensen_2,38.5497,-122.7936,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Juliana,38.6491,-122.4257,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,La Estancia,36.4582,-121.4647,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Linda Vista,38.3379,-122.3318,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Loma del Rio - Producing,36.1236,-121.0704,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Los Alamos,34.7663,-120.3618,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Marsino,36.2883,-121.2063,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Mesa Del Rio,36.256,-121.2024,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Mirabelle,38.4947,-122.8852,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Napa River Ranch,38.3787,-122.3154,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,North 40,38.3822,-122.3221,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Oakview Ranch,38.3644,-122.3184,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Oakville 38,38.4534,-122.3888,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Oasis,36.1492,-121.1149,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Ottos,38.4143,-122.3496,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
Nuveen-Cali-Jan2024,Ottos South Vineyard,38.4082,-122.3468,,,,,,,,,TRUE,TRUE,TRUE,FALSE,,,Wine,,,,,,,
